"","s-2","s-Wetteren","s-Wichelen","s-2a","s-3","s-Dendermonde","s-4b","s-4c","s-6","s-8","s-9","s-12","s-STD3","s-7","s-5","ak-41","s-Vlassenbroek","s-4a","s-9a","s-8a","s-11","s-4","s-10a","ak-45","ws-53A","ws-53","ws-42A","ws-18","ws-25B","ws-16","ws-14","ws-12A","ws-6","ws-4","ws-PVTSS","ws-DL9","ws-DL7","ws-55","ws-2C","ws-TRAWL","ws-F42","ws-HW6","ws-11","s-1","ws-OGDL","ws-OG10","ws-SP3","ws-25A","ws-25","ws-23","ws-A5","ws-PPC","ws-A3","ws-A1","ws-15A","ws-15","ws-W6","ak-47","ws-WN2","bpns-WENDUINEBANKW","bpns-Whitley","me-7-2","M-6","ws-13","ws-W7","bpns-W1","bpns-Trapegeer","du-Hamveer","bpns-WK12","ws-FZ2","bpns-S4","bpns-A1BIS","bpns-S7","bpns-O6","M-4","M-4A","M-3","M-2","M-1","M-5","s-Dendermonde2","bpns-KB2","bpns-middelkerkebank","bpns-nieuwpoortbank","ws-borssele","PC4C-C05-2","PC4C-C05-9","ws-GVWSP","bpns-Cpowerreefballs-CPOD","bpns-zbe1","bpns-ZA2","ws-F53","bpns-WK14","rel_schelde1","rel_dijle","rel_schelde2","rel_schelde3","rel_schelde4","rel_schelde5"
"s-9",70466.7887878017,63832.1255252887,58387.2121909477,53552.6006390386,43663.3179661792,38152.9146220605,25642.8660108964,23153.4950182484,15129.6320286805,5446.9412145984,0,22482.6221463336,26395.818274386,13139.9350522075,20339.9087851783,8248.08484895157,30328.9163574798,28980.5810242089,199.937947239727,5546.91018821826,22299.8260513433,39642.5714710915,7765.35742568443,19186.210860325,47448.0101886124,47796.4117115067,47644.8463292117,64813.9147147079,65896.651239037,65924.0125504034,66775.5315999624,67568.4586254598,70181.6077981972,70530.0093210909,71178.3909870982,89475.4666552277,90723.8086074613,46934.0032378149,71282.2537694643,89450.5371854859,47993.2478521053,48724.4322320646,71833.7926759095,71122.0196246888,87692.7764636344,88506.7147427101,90344.1763718724,67048.1504317085,67548.1173368971,68323.8536953087,69158.1820777819,70006.5505058641,69626.9182702758,70137.0558197451,70164.4171311121,70574.5612995437,89681.0358804045,29833.6731132432,89536.4905209141,134853.557917494,156404.150119644,15733.1688272216,22957.4752871729,71526.7925099918,89208.4302865823,100452.959721111,163000.562646657,22753.8876053651,115683.903131391,47610.4649950401,117854.958643151,125359.05040216,109179.74518276,134182.4031213,28816.2313393486,28816.2313393486,29157.5640246027,29340.3845270103,31395.6935503495,26619.5275779956,38152.9146220606,144113.254058799,145707.565692301,159634.450245694,73020.3187603511,146446.213372847,146529.016086799,89905.9521122217,128989.767330144,108894.523865108,109791.240450717,47996.3984735821,104387.801695606,10226.086956504,28816.2313393486,37187.3621458548,53511.1748746448,27073.9308358656,70466.7887878018
"s-12",92949.4109341356,86314.7476716225,80869.8343372814,76035.2227853722,66145.9401125125,60635.5367683939,48125.4881572299,45636.1171645819,37612.2541750141,27929.563360932,22482.6221463336,0,3913.19612805245,35622.5571985411,42822.5309315118,14693.0296233411,52811.5385038131,51463.2031705423,22282.6841990938,28029.5323345518,441.301658873956,62125.1936174248,14775.832337293,4086.35854195389,24965.388042279,25313.7895651732,25162.2241828782,42331.2925683746,43414.0290927037,43441.3904040701,44292.909453629,45085.8364791264,47698.9856518638,48047.3871747574,48695.7688407647,66992.8445088939,68241.1864611276,24451.3810914814,48799.6316231308,66967.9150391522,25510.6257057718,26241.8100857312,49351.170529576,93604.6417710225,65210.1543173007,66024.0925963764,67861.5542255386,44565.5282853751,45065.4951905637,45841.2315489753,46675.5599314485,47523.9283595306,47144.2961239423,47654.4336734116,47681.7949847787,48091.9391532102,67198.4137340708,7351.05096690964,67053.8683745803,112370.935771161,133921.52797331,38215.7909735551,45440.0974335063,49044.1703636583,66725.8081402486,77970.3375747775,140517.940500323,45236.5097516986,93201.2809850575,25127.8428487067,95372.3364968168,102876.428255826,86697.123036426,111699.780974967,51298.853485682,51298.853485682,51640.1861709361,51823.0066733437,53878.3156966829,49102.149724329,60635.5367683939,121630.631912465,123224.943545968,137151.82809936,50537.6966140176,123963.591226514,124046.393940466,67423.329965888,106507.14518381,86411.9017187739,87308.6183043837,25513.7763272487,81905.1795492721,32708.7091028376,51298.853485682,59669.9842921882,75993.7970209783,49556.552982199,92949.4109341355
"s-STD3",96862.6070621881,90227.943799675,84783.0304653339,79948.4189134247,70059.136240565,64548.7328964463,52038.6842852823,49549.3132926343,41525.4503030665,31842.7594889844,26395.818274386,3913.19612805245,0,39535.7533265935,46735.7270595642,18606.2257513935,56724.7346318655,55376.3992985947,26195.8803271463,31942.7284626043,4295.93017028252,66038.3897454772,18689.0284653455,7999.55467000634,21052.1919142265,21400.5934371208,21249.0280548258,38418.0964403222,39500.8329646513,39528.1942760177,40379.7133255766,41172.640351074,43785.7895238114,44134.191046705,44782.5727127123,63079.6483808414,64327.9903330751,20538.184963429,44886.4354950784,63054.7189110997,21597.4295777194,22328.6139576788,45437.9744015236,97517.837899075,61296.9581892483,62110.8964683239,63948.3580974862,40652.3321573227,41152.2990625113,41928.0354209229,42762.3638033961,43610.7322314782,43231.0999958899,43741.2375453592,43768.5988567263,44178.7430251578,63285.2176060183,3437.85483885719,63140.6722465279,108457.739643108,130008.331845257,42128.9871016075,49353.2935615587,45130.9742356059,62812.6120121961,74057.141446725,136604.744372271,49149.705879751,89288.084857005,21214.6467206542,91459.1403687643,98963.2321277737,82783.9269083735,107786.584846914,55212.0496137344,55212.0496137344,55553.3822989885,55736.2028013961,57791.5118247353,53015.3458523814,64548.7328964463,117717.435784413,119311.747417915,133238.631971307,46624.5004859652,120050.395098461,120133.197812413,63510.1338378355,102593.949055758,82498.7055907214,83395.4221763312,21600.5801991962,77991.9834212197,36621.90523089,55212.0496137344,63583.1804202406,79906.9931490308,53469.7491102514,96862.607062188
"s-7",57326.8537355942,50692.1904730813,45247.2771387403,40412.6655868312,30523.3829139718,25012.9795698531,12502.9309586889,10013.5599660409,1989.69697647302,7692.99383760912,13139.9350522075,35622.5571985411,39535.7533265935,0,7199.97373297076,21388.0199011591,17188.9813052722,15840.6459720014,13339.8729994472,7593.02486398925,35439.7611035508,26502.636418884,20905.2924778919,32326.1459125325,60587.9452408198,60936.3467637141,60784.7813814191,77953.8497669155,79036.5862912446,79063.947602611,79915.46665217,80708.3936776673,83321.5428504048,83669.9443732984,84318.3260393058,102615.401707435,103863.743659669,60073.9382900223,84422.1888216719,102590.472237693,61133.1829043127,61864.3672842721,84973.727728117,57982.0845724813,100832.711515842,101646.649794918,103484.11142408,80188.0854839161,80688.0523891047,81463.7887475163,82298.1171299895,83146.4855580717,82766.8533224833,83276.9908719526,83304.3521833197,83714.4963517512,102820.970932612,42973.6081654507,102676.425573122,147993.492969702,169544.085171851,12586.2706358335,19810.5770957848,84666.7275621994,102348.36533879,113592.894773319,176140.497698864,9613.95255315759,128823.838183599,60750.4000472476,130994.893695358,138498.985454368,122319.680234967,147322.338173508,25669.3331479606,25669.3331479606,26010.6658332147,26193.4863356223,28248.7953589615,23472.6293866076,25012.9795698531,157253.189111006,158847.500744509,172774.385297901,86160.2538125587,159586.148425055,159668.951139007,103045.887164429,142129.702382352,122034.458917315,122931.175502925,61136.3335257896,117527.736747813,2913.84809570347,25669.3331479606,24047.4270936473,40371.2398224374,13933.9957836581,57326.8537355943
"s-5",50126.8800026235,43492.2167401106,38047.3034057696,33212.6918538605,23323.409181001,17813.0058368823,5302.95722571816,2813.58623307017,5210.27675649774,14892.9675705799,20339.9087851783,42822.5309315118,46735.7270595642,7199.97373297076,0,28587.9936341298,9989.00757230148,8640.67223903061,20539.846732418,14792.99859696,42639.7348365214,19302.6626859132,28105.2662108627,39526.1196455031,67787.9189737906,68136.3204966848,67984.7551143898,85153.8234998863,86236.5600242154,86263.9213355818,87115.4403851408,87908.3674106382,90521.5165833756,90869.9181062693,91518.2997722766,109815.375440406,111063.71739264,67273.912022993,91622.1625546427,109790.445970664,68333.1566372834,69064.3410172428,92173.7014610879,50782.1108395106,108032.685248813,108846.623527889,110684.085157051,87388.0592168869,87888.0261220755,88663.7624804871,89498.0908629603,90346.4592910425,89966.8270554542,90476.9646049235,90504.3259162905,90914.4700847221,110020.944665583,50173.5818984213,109876.399306092,155193.466702673,176744.058904822,19786.2443688043,27010.5508287556,91866.7012951702,109548.339071761,120792.86850629,183340.471431835,4637.58015196763,136023.81191657,67950.3737802183,138194.867428329,145698.959187338,129519.653967938,154522.311906479,32869.3068809314,32869.3068809314,33210.6395661855,33393.460068593,35448.7690919322,30672.6031195784,17813.0058368823,164453.162843977,166047.47447748,179974.359030872,93360.2275455295,166786.122158026,166868.924871978,110245.8608974,149329.676115322,129234.432650286,130131.149235896,68336.3072587603,124727.710480784,10113.8218286742,32869.3068809314,16847.4533606766,33171.2660894667,6734.02205068733,50126.8800026236
"ak-41",78714.8736367534,72080.2103742403,66635.2970398992,61800.6854879901,51911.4028151306,46400.999471012,33890.950859848,31401.5798672,23377.7168776321,13695.02606355,8248.08484895157,14693.0296233411,18606.2257513935,21388.0199011591,28587.9936341298,0,38577.0012064313,37228.6658731604,8048.14690171184,13794.9950371698,14510.2335283508,47890.6563200429,482.727423267141,11396.6183373324,39658.41766562,40006.8191885143,39855.2538062192,57024.3221917155,58107.0587160446,58134.420027411,58985.93907697,59778.8661024673,62392.0152752047,62740.4167980983,63388.7984641057,81685.8741322351,82934.2160844687,39144.4107148225,63492.6612464718,81660.9446624933,40203.6553291129,40934.8397090722,64044.2001529169,79370.1044736404,79903.1839406418,80717.1222197175,82554.5838488798,59258.5579087161,59758.5248139047,60534.2611723163,61368.5895547895,62216.9579828716,61837.3257472833,62347.4632967526,62374.8246081196,62784.9687765511,81891.4433574119,22044.0805902507,81746.8979979215,127063.965394502,148614.557596651,23981.2536761731,31205.5601361244,63737.1999869993,81418.8377635897,92663.3671981186,155210.970123664,31001.9724543167,107894.310608399,39820.8724720477,110065.366120158,117569.457879167,101390.152659767,126392.810598308,37064.3161883002,37064.3161883002,37405.6488735542,37588.4693759618,39643.778399301,34867.6124269471,46400.999471012,136323.661535806,137917.973169309,151844.857722701,65230.7262373585,138656.620849855,138739.423563807,82116.3595892291,121200.174807151,101104.931342115,102001.647927725,40206.8059505897,96598.2091726133,18474.1718054556,37064.3161883002,45435.4469948063,61759.2597235963,35322.0156848171,78714.8736367534
"s-Vlassenbroek",40137.8724303222,33503.2091678093,28058.2958334682,23223.6842815591,13334.4016086995,7823.99826458082,4686.05034658331,7175.42133923131,15199.2843287992,24881.9751428814,30328.9163574798,52811.5385038131,56724.7346318655,17188.9813052722,9989.00757230148,38577.0012064313,0,1348.33533327087,30528.8543047195,24782.0061692615,52628.7424088228,9313.65511361172,38094.2737831641,49515.1272178045,77776.9265460921,78125.3280689863,77973.7626866913,95142.8310721878,96225.5675965169,96252.9289078833,97104.4479574423,97897.3749829397,100510.524155677,100858.925678571,101507.307344578,119804.383012708,121052.724964941,77262.9195952945,101611.170126944,119779.453542966,78322.1642095849,79053.3485895443,102162.709033389,40793.1032672092,118021.692821114,118835.63110019,120673.092729352,97377.0667891884,97877.033694377,98652.7700527886,99487.0984352618,100335.466863344,99955.8346277557,100465.972177225,100493.333488592,100903.477657024,120009.952237884,60162.5894707227,119865.406878394,165182.474274974,186733.066477124,29775.2519411058,36999.5584010571,101855.708867472,119537.346644062,130781.876078591,193329.479004137,14626.5877242691,146012.819488871,77939.3813525198,148183.875000631,155687.96675964,139508.66154024,164511.31947878,42858.3144532328,42858.3144532328,43199.6471384869,43382.4676408944,45437.7766642337,40661.6106918798,7823.99826458081,174442.170416279,176036.482049781,189963.366603174,103349.235117831,176775.129730327,176857.932444279,120234.868469702,159318.683687624,139223.440222588,140120.156808197,78325.3148310618,134716.718053086,20102.8294009757,42858.3144532328,6858.44578837508,23182.2585171652,3254.98552161415,40137.8724303222
"s-4a",41486.2077635931,34851.5445010801,29406.6311667391,24572.01961483,14682.7369419704,9172.33359785169,3337.71501331244,5827.08600596044,13850.9489955283,23533.6398096105,28980.5810242089,51463.2031705423,55376.3992985947,15840.6459720014,8640.67223903061,37228.6658731604,1348.33533327087,0,29180.5189714486,23433.6708359906,51280.407075552,10661.9904468826,36745.9384498933,48166.7918845337,76428.5912128212,76776.9927357155,76625.4273534205,93794.4957389169,94877.232263246,94904.5935746124,95756.1126241714,96549.0396496688,99162.1888224063,99510.5903452999,100158.972011307,118456.047679437,119704.38963167,75914.5842620237,100262.834793673,118431.118209695,76973.8288763141,77705.0132562735,100814.373700118,42141.4386004801,116673.357487843,117487.295766919,119324.757396081,96028.7314559175,96528.6983611062,97304.4347195177,98138.763101991,98987.1315300731,98607.4992944848,99117.6368439541,99144.9981553212,99555.1423237527,118661.616904614,58814.2541374519,118517.071545123,163834.138941704,185384.731143853,28426.9166078349,35651.2230677862,100507.373534201,118189.011310791,129433.54074532,191981.143670866,13278.2523909982,144664.4841556,76591.0460192489,146835.53966736,154339.631426369,138160.326206969,163162.98414551,41509.9791199619,41509.9791199619,41851.311805216,42034.1323076236,44089.4413309628,39313.2753586089,9172.33359785169,173093.835083008,174688.146716511,188615.031269903,102000.89978456,175426.794397057,175509.597111009,118886.533136431,157970.348354353,137875.104889317,138771.821474927,76976.9794977909,133368.382719815,18754.4940677048,41509.9791199619,8206.78112164596,24530.5938504361,1906.65018834328,41486.2077635931
"s-9a",70666.7267350414,64032.0634725284,58587.1501381874,53752.5385862783,43863.2559134189,38352.8525693002,25842.8039581362,23353.4329654882,15329.5699759203,5646.87916183812,199.937947239727,22282.6841990938,26195.8803271463,13339.8729994472,20539.846732418,8048.14690171184,30528.8543047195,29180.5189714486,0,5746.84813545799,22099.8881041035,39842.5094183312,7565.4194784447,18986.2729130852,47248.0722413727,47596.4737642669,47444.9083819719,64613.9767674682,65696.7132917973,65724.0746031637,66575.5936527227,67368.52067822,69981.6698509575,70330.0713738511,70978.4530398585,89275.5287079879,90523.8706602216,46734.0652905751,71082.3158222246,89250.5992382462,47793.3099048655,48524.4942848249,71633.8547286697,71321.9575719285,87492.8385163947,88306.7767954704,90144.2384246327,66848.2124844688,67348.1793896574,68123.915748069,68958.2441305422,69806.6125586244,69426.980323036,69937.1178725053,69964.4791838724,70374.6233523039,89481.0979331648,29633.7351660035,89336.5525736743,134653.619970255,156204.212172404,15933.1067744613,23157.4132344126,71326.8545627521,89008.4923393426,100253.021773872,162800.624699417,22953.8255526048,115483.965184152,47410.5270478004,117655.020695911,125159.11245492,108979.80723552,133982.465174061,29016.1692865884,29016.1692865884,29357.5019718424,29540.32247425,31595.6314975893,26819.4655252353,38352.8525693003,143913.316111559,145507.627745062,159434.512298454,72820.3808131114,146246.275425608,146329.07813956,89706.014164982,128789.829382904,108694.585917868,109591.302503478,47796.4605263424,104187.863748366,10426.0249037438,29016.1692865884,37387.3000930946,53711.1128218846,27273.8687831053,70666.7267350415
"s-8a",64919.8785995834,58285.2153370705,52840.3020027295,48005.6904508204,38116.407777961,32606.0044338423,20095.9558226782,17606.5848300302,9582.72184046228,99.9689736198634,5546.91018821826,28029.5323345518,31942.7284626043,7593.02486398925,14792.99859696,13794.9950371698,24782.0061692615,23433.6708359906,5746.84813545799,0,27846.7362395615,34095.6612828732,13312.2676139027,24733.1210485432,52994.9203768306,53343.3218997249,53191.7565174299,70360.8249029262,71443.5614272553,71470.9227386217,72322.4417881807,73115.368813678,75728.5179864155,76076.9195093091,76725.3011753165,95022.3768434459,96270.7187956796,52480.9134260331,76829.1639576826,94997.4473737042,53540.1580403235,54271.3424202829,77380.7028641277,65575.1094364705,93239.6866518527,94053.6249309284,95891.0865600907,72595.0606199268,73095.0275251154,73870.763883527,74705.0922660002,75553.4606940824,75173.828458494,75683.9660079633,75711.3273193304,76121.4714877619,95227.9460686228,35380.5833014615,95083.4007091323,140400.468105713,161951.060307862,10186.2586390033,17410.5650989546,77073.7026982101,94755.3404748006,105999.86990933,168547.472834875,17206.9774171468,121230.81331961,53157.3751832584,123401.868831369,130905.960590378,114726.655370978,139729.313309519,23269.3211511304,23269.3211511304,23610.6538363845,23793.474338792,25848.7833621313,21072.6173897773,32606.0044338423,149660.164247017,151254.47588052,165181.360433912,78567.2289485694,151993.123561066,152075.926275018,95452.86230044,134536.677518362,114441.434053326,115338.150638936,53543.3086618004,109934.711883824,4679.17676828579,23269.3211511304,31640.4519576366,47964.2646864266,21527.0206476473,64919.8785995835
"s-11",92766.6148391453,86131.9515766322,80687.0382422911,75852.4266903819,65963.1440175222,60452.7406734036,47942.6920622395,45453.3210695916,37429.4580800238,27746.7672659417,22299.8260513433,441.301658873956,4295.93017028252,35439.7611035508,42639.7348365214,14510.2335283508,52628.7424088228,51280.407075552,22099.8881041035,27846.7362395615,0,61942.3975224345,14593.0362423027,3903.56244696357,25348.122084509,25696.5236074033,25544.9582251083,42714.0266106047,43796.7631349337,43824.1244463002,44675.6434958591,45468.5705213564,48081.7196940939,48430.1212169875,49078.5028829948,67375.578551124,68623.9205033577,24834.1151337115,49182.3656653609,67350.6490813822,25893.3597480019,26624.5441279613,49733.904571806,93421.8456760322,65592.8883595307,66406.8266386064,68244.2882677687,44948.2623276052,45448.2292327938,46223.9655912054,47058.2939736786,47906.6624017607,47527.0301661724,48037.1677156417,48064.5290270088,48474.6731954403,67581.1477763009,7733.78500913972,67436.6024168104,112753.669813391,134304.26201554,38032.9948785648,45257.301338516,49426.9044058884,67108.5421824786,78353.0716170076,140900.674542553,45053.7136567082,93584.0150272876,25510.5768909368,95755.0705390469,103259.162298056,87079.8570786561,112082.515017197,51116.0573906917,51116.0573906917,51457.3900759458,51640.2105783533,53695.5196016926,48919.3536293387,60452.7406734036,122013.365954695,123607.677588198,137534.56214159,50920.4306562477,124346.325268744,124429.127982696,67806.064008118,106889.87922604,86794.635761004,87691.3523466138,25896.5103694788,82287.9135915022,32525.9130078473,51116.0573906917,59487.1881971979,75811.000925988,49373.7568872087,92766.6148391452
"s-4",30824.2173167106,24189.5540541976,18744.6407198565,13910.0291679474,4020.74649508779,1489.65684903091,13999.705460195,16489.076452843,24512.9394424109,34195.6302564931,39642.5714710915,62125.1936174248,66038.3897454772,26502.636418884,19302.6626859132,47890.6563200429,9313.65511361172,10661.9904468826,39842.5094183312,34095.6612828732,61942.3975224345,0,47407.9288967758,58828.7823314162,87090.5816597039,87438.9831825982,87287.4178003032,104456.4861858,105539.222710129,105566.584021495,106418.103071054,107211.030096551,109824.179269289,110172.580792183,110820.96245819,129118.038126319,130366.380078553,86576.5747089064,110924.825240556,129093.108656578,87635.8193231968,88367.0037031562,111476.364147001,31479.4481535976,127335.347934726,128149.286213802,129986.747842964,106690.7219028,107190.688807989,107966.4251664,108800.753548874,109649.121976956,109269.489741367,109779.627290837,109806.988602204,110217.132770635,129323.607351496,69476.2445843344,129179.061992006,174496.129388586,196046.721590736,39088.9070547174,46313.2135146687,111169.363981084,128851.001757674,140095.531192203,202643.134117749,23940.2428378808,155326.474602483,87253.0364661316,157497.530114242,165001.621873252,148822.316653852,173824.974592392,52171.9695668444,52171.9695668444,52513.3022520985,52696.122754506,54751.4317778453,49975.2658054914,1489.65684903091,183755.825529891,185350.137163393,199277.021716786,112662.890231443,186088.784843939,186171.587557891,129548.523583313,168632.338801236,148537.095336199,149433.811921809,87638.9699446736,144030.373166698,29416.4845145874,52171.9695668444,2455.20932523664,13868.6034035535,12568.6406352259,30824.2173167106
"s-10a",78232.1462134863,71597.4829509732,66152.5696166321,61317.958064723,51428.6753918635,45918.2720477449,33408.2234365809,30918.8524439329,22894.989454365,13212.2986402828,7765.35742568443,14775.832337293,18689.0284653455,20905.2924778919,28105.2662108627,482.727423267141,38094.2737831641,36745.9384498933,7565.4194784447,13312.2676139027,14593.0362423027,47407.9288967758,0,11479.4210512844,39741.2203795719,40089.6219024662,39938.0565201712,57107.1249056675,58189.8614299966,58217.222741363,59068.7417909219,59861.6688164193,62474.8179891567,62823.2195120503,63471.6011780576,81768.676846187,83017.0187984207,39227.2134287744,63575.4639604237,81743.7473764453,40286.4580430648,41017.6424230242,64127.0028668689,78887.3770503733,79985.9866545938,80799.9249336695,82637.3865628318,59341.360622668,59841.3275278566,60617.0638862682,61451.3922687414,62299.7606968235,61920.1284612352,62430.2660107045,62457.6273220716,62867.7714905031,81974.2460713639,22126.8833042027,81829.7007118734,127146.768108454,148697.360310603,23498.526252906,30722.8327128573,63820.0027009512,81501.6404775417,92746.1699120706,155293.772837616,30519.2450310495,107977.113322351,39903.6751859997,110148.16883411,117652.260593119,101472.955373719,126475.61331226,36581.588765033,36581.588765033,36922.9214502871,37105.7419526946,39161.0509760339,34384.88500368,45918.2720477449,136406.464249758,138000.775883261,151927.660436653,65313.5289513105,138739.423563807,138822.226277759,82199.1623031811,121282.977521103,101187.734056067,102084.450641677,40289.6086645417,96681.0118865653,17991.4443821885,36581.588765033,44952.7195715392,61276.5323003292,34839.28826155,78232.1462134863
"ak-45",89652.9996481269,83018.3363856139,77573.4230512728,72738.8114993635,62849.5288265039,57339.1254823853,44829.0768712213,42339.7058785733,34315.8428890055,24633.1520749233,19186.210860325,4086.35854195389,7999.55467000634,32326.1459125325,39526.1196455031,11396.6183373324,49515.1272178045,48166.7918845337,18986.2729130852,24733.1210485432,3903.56244696357,58828.7823314162,11479.4210512844,0,29051.7465842329,29400.1481071271,29248.5827248321,46417.6511103284,47500.3876346575,47527.7489460239,48379.2679955829,49172.1950210802,51785.3441938176,52133.7457167113,52782.1273827186,71079.2030508478,72327.5450030815,28537.7396334353,52885.9901650847,71054.2735811061,29596.9842477257,30328.1686276851,53437.5290715298,90308.2304850139,69296.5128592546,70110.4511383303,71947.9127674926,48651.886827329,49151.8537325176,49927.5900909292,50761.9184734024,51610.2869014845,51230.6546658962,51740.7922153655,51768.1535267325,52178.297695164,71284.7722760247,11437.4095088635,71140.2269165342,116457.294313115,138007.886515264,34919.3796875465,42143.6861474977,53130.5289056122,70812.1666822025,82056.6961167314,144604.299042277,41940.09846569,97287.6395270114,29214.2013906606,99458.6950387707,106962.78679778,90783.4815783799,115786.139516921,48002.4421996734,48002.4421996734,48343.7748849275,48526.5953873351,50581.9044106743,45805.7384383204,57339.1254823853,125716.990454419,127311.302087922,141238.186641314,54624.0551559714,128049.949768468,128132.75248242,71509.6885078419,110593.503725764,90498.2602607278,91394.9768463376,29600.1348692026,85991.5380912261,29412.297816829,48002.4421996734,56373.5730061796,72697.3857349697,46260.1416961904,89652.9996481269
"ws-53A",117914.798976415,111280.135713902,105835.222379561,101000.610827651,91111.3281547917,85600.924810673,73090.8761995088,70601.5052068608,62577.6422172928,52894.9514032108,47448.0101886124,24965.388042279,21052.1919142265,60587.9452408198,67787.9189737906,39658.41766562,77776.9265460921,76428.5912128212,47248.0722413727,52994.9203768306,25348.122084509,87090.5816597039,39741.2203795719,29051.7465842329,0,641.239606113682,1323.90497662055,17779.9180958555,18862.6546201846,18890.0159315511,19741.53498111,20534.4620066074,23147.6111793448,23496.0127022384,24144.3943682458,42441.4700363749,43689.8119886086,1041.11550059248,24248.2571506119,42416.5405666332,1882.29305394589,2682.04484290545,24799.796057057,118570.029813302,40658.7798447817,41472.7181238574,43310.1797530196,20014.1538128561,20514.1207180447,21289.8570764563,22124.1854589296,22972.5538870117,22592.9216514234,23103.0592008926,23130.4205122597,23540.5646806912,42647.0392615518,20438.3380268977,42502.4939020613,87819.5612986414,109370.153500791,63181.1790158338,70405.485475785,24492.7958911394,42174.4336677296,53418.9631022583,115966.566027804,70201.8977939773,68649.9065125382,1806.63239988769,70820.9620242975,78325.0537833069,62145.7485639068,87148.4065024474,76264.2415279608,76264.2415279608,76605.5742132149,76788.3947156224,78843.7037389617,74067.5377666078,85600.924810673,97079.2574399457,98673.5690734483,112600.453626841,25986.3221414987,99412.2167539944,99495.0194679463,42871.9554933689,81955.7707112909,61860.5272462547,62757.2438318645,724.091134901369,57353.8050767529,57674.0971451163,76264.2415279608,84635.3723344672,100959.185063257,74521.9410244778,117914.798976415
"ws-53",118263.200499309,111628.537236796,106183.623902455,101349.012350546,91459.729677686,85949.3263335672,73439.277722403,70949.906729755,62926.0437401871,53243.352926105,47796.4117115067,25313.7895651732,21400.5934371208,60936.3467637141,68136.3204966848,40006.8191885143,78125.3280689863,76776.9927357155,47596.4737642669,53343.3218997249,25696.5236074033,87438.9831825982,40089.6219024662,29400.1481071271,641.239606113682,0,765.516899294554,17928.3328566743,19011.0693810035,19038.4306923699,19889.9497419288,20682.8767674262,23296.0259401636,23644.4274630573,24292.8091290646,42589.8847971937,43838.2267494274,1682.35510670616,24396.6719114307,42564.9553274519,1323.90497661989,2040.80523679177,24948.2108178758,118918.431336196,40807.1946056005,41621.1328846762,43458.5945138384,20162.5685736749,20662.5354788636,21438.2718372751,22272.6002197484,23120.9686478305,22741.3364122422,23251.4739617115,23278.8352730785,23688.9794415101,42795.4540223706,20786.739549792,42650.9086628801,87967.9760594602,109518.568261609,63529.580538728,70753.8869986793,24641.2106519582,42322.8484285484,53567.3778630771,116114.980788623,70550.2993168716,68798.321273357,1248.2443225617,70969.3767851163,78473.4685441257,62294.1633247256,87296.8212632662,76612.6430508551,76612.6430508551,76953.9757361092,77136.7962385167,79192.105261856,74415.9392895021,85949.3263335673,97227.6722007646,98821.9838342672,112748.868387659,26134.7369023175,99560.6315148132,99643.4342287652,43020.3702541877,82104.1854721097,62008.9420070735,62905.6585926833,199.986762075452,57502.2198375717,58022.4986680106,76612.6430508551,84983.7738573615,101307.586586152,74870.3425473721,118263.200499309
"ws-42A",118111.635117014,111476.971854501,106032.05852016,101197.446968251,91308.164295391,85797.7609512722,73287.712340108,70798.34134746,62774.4783578921,53091.78754381,47644.8463292117,25162.2241828782,21249.0280548258,60784.7813814191,67984.7551143898,39855.2538062192,77973.7626866913,76625.4273534205,47444.9083819719,53191.7565174299,25544.9582251083,87287.4178003032,39938.0565201712,29248.5827248321,1323.90497662055,765.516899294554,0,18576.7145226811,19659.4510470102,19686.8123583767,20538.3314079356,21331.258433433,23944.4076061704,24292.809129064,24941.1907950714,43238.2664632005,44486.6084154341,2282.16894842534,25045.0535774375,43213.3369934587,641.239606113024,1606.69445264796,25596.5924838826,118766.865953901,41455.5762716073,42269.514550683,44106.9761798452,20810.9502396817,21310.9171448703,22086.6535032819,22920.9818857552,23769.3503138373,23389.718078249,23899.8556277183,23927.2169390853,24337.3611075168,43443.8356883773,20635.174167497,43299.2903288869,88616.3577254671,110166.949927616,63378.015156433,70602.3216163843,25289.592317965,42971.2300945551,54215.7595290838,116763.362454629,70398.7339345766,69446.7029393637,482.727423267141,71617.758451123,79121.8502101325,62942.5449907324,87945.202929273,76461.0776685601,76461.0776685601,76802.4103538142,76985.2308562217,79040.539879561,74264.3739072071,85797.7609512723,97876.0538667714,99470.365500274,113397.250053666,26783.1185683243,100209.01318082,100291.815894772,43668.7519201945,82752.5671381165,62657.3236730803,63554.0402586901,848.368428082242,58150.6015035785,57870.9332857156,76461.0776685601,84832.2084750665,101156.021203857,74718.7771650771,118111.635117014
